[Header]
Data File Name	C:\GCMSsolution\Data\Betty_Hong\181026\181026_mango_N3_split2.qgd
Output Date	10/26/2018
Output Time	7:44:16 PM

[File Information]
Type	Data File
Generated	10/26/2018 5:23:39 PM
Generated by	Admin
Modified	10/26/2018 5:40:26 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	10/26/2018 5:24:26 PM
Type	Unknown
Level	1
Sample Name	181026_mango_N3_split2
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCMSsolution\Data\Betty_Hong\181026\181026_mango_N3_split2.qgd
Method File	C:\GCMSsolution\Data\Betty_Hong\SPME_Headspace_Split2_180717.qgm
Batch File	
Report Format File	
Tuning File	C:\GCMSsolution\System\Tune1\20181017.qgt

[File Description]


[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	4500
Start Time(min)	1.000
End Time(min)	15.997
Ret.Time	Absolute Intensity	Relative Intensity
1.000	7029285	10.41
1.003	7055204	10.45
1.007	7097772	10.51
1.010	7147472	10.59
1.013	7202689	10.67
1.017	7272899	10.77
1.020	7348354	10.88
1.023	7435477	11.01
1.027	7538608	11.16
1.030	7643793	11.32
1.033	7752521	11.48
1.037	7860139	11.64
1.040	7980932	11.82
1.043	8107591	12.01
1.047	8219893	12.17
1.050	8321083	12.32
1.053	8423446	12.48
1.057	8533365	12.64
1.060	8638998	12.79
1.063	8739087	12.94
1.067	8834738	13.08
1.070	8915929	13.20
1.073	8981242	13.30
1.077	9047679	13.40
1.080	9120317	13.51
1.083	9191084	13.61
1.087	9254284	13.71
1.090	9312913	13.79
1.093	9367218	13.87
1.097	9412177	13.94
1.100	9459193	14.01
1.103	9503364	14.07
1.107	9523146	14.10
1.110	9536831	14.12
1.113	9560043	14.16
1.117	9570408	14.17
1.120	9570481	14.17
1.123	9570421	14.17
1.127	9575677	14.18
1.130	9593654	14.21
1.133	9609320	14.23
1.137	9615620	14.24
1.140	9621189	14.25
1.143	9620898	14.25
1.147	9607050	14.23
1.150	9598286	14.22
1.153	9598211	14.22
1.157	9580521	14.19
1.160	9553447	14.15
1.163	9533948	14.12
1.167	9528019	14.11
1.170	9544967	14.14
1.173	9539227	14.13
1.177	9511832	14.09
1.180	9511403	14.09
1.183	9574803	14.18
1.187	9802669	14.52
1.190	10174806	15.07
1.193	10557577	15.64
1.197	10902522	16.15
1.200	11188274	16.57
1.203	11432894	16.93
1.207	11642172	17.24
1.210	11801867	17.48
1.213	11964666	17.72
1.217	12148607	17.99
1.220	12319181	18.24
1.223	12465800	18.46
1.227	12601693	18.66
1.230	12697348	18.81
1.233	12721942	18.84
1.237	12696284	18.80
1.240	12639789	18.72
1.243	12542155	18.58
1.247	12405764	18.37
1.250	12251136	18.14
1.253	12091529	17.91
1.257	11932860	17.67
1.260	11761472	17.42
1.263	11579691	17.15
1.267	11408426	16.90
1.270	11245978	16.66
1.273	11072295	16.40
1.277	10907402	16.15
1.280	10771671	15.95
1.283	10626054	15.74
1.287	10457087	15.49
1.290	10304249	15.26
1.293	10181699	15.08
1.297	10067113	14.91
1.300	9941913	14.72
1.303	9819295	14.54
1.307	9719069	14.39
1.310	9623382	14.25
1.313	9523727	14.10
1.317	9440750	13.98
1.320	9362969	13.87
1.323	9274407	13.74
1.327	9191158	13.61
1.330	9115113	13.50
1.333	9051681	13.41
1.337	8991721	13.32
1.340	8918859	13.21
1.343	8847883	13.10
1.347	8786224	13.01
1.350	8735786	12.94
1.353	8686551	12.86
1.357	8634785	12.79
1.360	8580657	12.71
1.363	8518895	12.62
1.367	8469914	12.54
1.370	8424765	12.48
1.373	8379435	12.41
1.377	8352705	12.37
1.380	8318343	12.32
1.383	8272113	12.25
1.387	8229892	12.19
1.390	8172494	12.10
1.393	8121268	12.03
1.397	8088670	11.98
1.400	8047583	11.92
1.403	8009070	11.86
1.407	7972804	11.81
1.410	7932937	11.75
1.413	7896694	11.70
1.417	7857635	11.64
1.420	7825246	11.59
1.423	7807527	11.56
1.427	7780531	11.52
1.430	7726823	11.44
1.433	7669414	11.36
1.437	7632143	11.30
1.440	7601679	11.26
1.443	7569424	11.21
1.447	7539276	11.17
1.450	7497943	11.10
1.453	7455691	11.04
1.457	7426319	11.00
1.460	7402545	10.96
1.463	7368429	10.91
1.467	7327330	10.85
1.470	7304775	10.82
1.473	7293521	10.80
1.477	7256125	10.75
1.480	7202103	10.67
1.483	7180947	10.64
1.487	7176973	10.63
1.490	7146997	10.58
1.493	7108910	10.53
1.497	7085325	10.49
1.500	7134831	10.57
1.503	7408922	10.97
1.507	7943056	11.76
1.510	8584825	12.71
1.513	9198993	13.62
1.517	9742398	14.43
1.520	10212740	15.13
1.523	10630772	15.74
1.527	10994305	16.28
1.530	11330041	16.78
1.533	11736220	17.38
1.537	12228397	18.11
1.540	12754840	18.89
1.543	13287606	19.68
1.547	13752000	20.37
1.550	14088046	20.86
1.553	14284412	21.16
1.557	14336774	21.23
1.560	14286086	21.16
1.563	14143344	20.95
1.567	13875894	20.55
1.570	13540169	20.05
1.573	13180479	19.52
1.577	12759316	18.90
1.580	12307349	18.23
1.583	11856603	17.56
1.587	11410889	16.90
1.590	10972071	16.25
1.593	10537173	15.61
