[Header]
Data File Name	C:\Users\user\Documents\gcms\run2\standards\isobutylalcohol_10minus7_split5.qgd
Output Date	10/29/2018
Output Time	9:13:56 PM

[File Information]
Type	Data File
Generated	8/8/2018 5:16:49 PM
Generated by	Admin
Modified	10/29/2018 9:13:56 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	8/8/2018 5:17:13 PM
Type	Unknown
Level	1
Sample Name	isobutylalcohol_10minus7_split5.qgd
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	-1
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\Users\user\Documents\gcms\run2\standards\isobutylalcohol_10minus7_split5.qgd
Method File	C:\GCMSsolution\Data\Betty_Hong\SPME_Headspace_Split5_180821.qgm
Batch File	C:\Users\user\Documents\gcms\run2\standards\ascii_export.qgb
Report Format File	
Tuning File	C:\GCMSsolution\System\Tune1\autotune_07082018.qgt

[File Description]


[MC Peak Table]
[MS Column Performance Table]
# of Peaks	0
Peak#	k'	Plate #	Plate Ht.	Tailing	Resolution	Separation Factor	Ret.Time	Name

[Spectrum Process Table]
# of Spectrum	0
[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	4500
Start Time(min)	1.000
End Time(min)	15.997
Ret.Time	Absolute Intensity	Relative Intensity
1.000	2977746	65.63
1.003	3474125	76.57
1.007	4078630	89.90
1.010	4441847	97.90
1.013	4537058	100.00
1.017	4362112	96.14
1.020	3993461	88.02
1.023	3535663	77.93
1.027	3079592	67.88
1.030	2684368	59.17
1.033	2362210	52.06
1.037	2117785	46.68
1.040	1949891	42.98
1.043	1839725	40.55
1.047	1771634	39.05
1.050	1784003	39.32
1.053	1933772	42.62
1.057	2171142	47.85
1.060	2424137	53.43
1.063	2684299	59.16
1.067	2903438	63.99
1.070	3033546	66.86
1.073	3091020	68.13
1.077	3111051	68.57
1.080	3117328	68.71
1.083	3107025	68.48
1.087	3068598	67.63
1.090	2999846	66.12
1.093	2903446	63.99
1.097	2788112	61.45
1.100	2668786	58.82
1.103	2557730	56.37
1.107	2452126	54.05
1.110	2350645	51.81
1.113	2262538	49.87
1.117	2184841	48.16
1.120	2118327	46.69
1.123	2067971	45.58
1.127	2021885	44.56
1.130	1982724	43.70
1.133	1955266	43.10
1.137	1926452	42.46
1.140	1896894	41.81
1.143	1872334	41.27
1.147	1852621	40.83
1.150	1840315	40.56
1.153	1835892	40.46
1.157	1840347	40.56
1.160	1852626	40.83
1.163	1863370	41.07
1.167	1865700	41.12
1.170	1862152	41.04
1.173	1852317	40.83
1.177	1836479	40.48
1.180	1820193	40.12
1.183	1800999	39.70
1.187	1783709	39.31
1.190	1769567	39.00
1.193	1753516	38.65
1.197	1735660	38.26
1.200	1718741	37.88
1.203	1706514	37.61
1.207	1695397	37.37
1.210	1680396	37.04
1.213	1667402	36.75
1.217	1658406	36.55
1.220	1647878	36.32
1.223	1635571	36.05
1.227	1626323	35.85
1.230	1619654	35.70
1.233	1612364	35.54
1.237	1603391	35.34
1.240	1593701	35.13
1.243	1587160	34.98
1.247	1580855	34.84
1.250	1569053	34.58
1.253	1557027	34.32
1.257	1547197	34.10
1.260	1538072	33.90
1.263	1530046	33.72
1.267	1522341	33.55
1.270	1516486	33.42
1.273	1508973	33.26
